Bits,Matrix Size,Pipelining,Parallelism,Frequency,Slack,Slack,Comb Area,Buf Area,Non-Comb Area,Total Area,Dyn Power (uW),Leakage Power (uW)
8,16,0,1,1.80000000000000000000,MET,0,8968.99,361.494,11578.7,20547.7,9877.3000,425.776,
8,16,0,1,1.90000000000000000000,MET,0,8917.12,354.312,11582.7,20499.8,9349.2000,424.372,
8,16,0,1,2.00000000000000000000,MET,0,8881.74,352.716,11570.7,20452.5,8878.1000,422.703,
8,16,0,1,2.10000000000000000000,MET,0,8869.5,346.598,11570.7,20440.2,8452.6000,422.359,
8,16,0,1,2.20000000000000000000,MET,0.01,8865.25,344.204,11569.4,20434.7,8067.7000,422.222,
8,16,0,1,2.30000000000000000000,MET,0.03,8863.39,343.672,11569.4,20432.8,7716.7000,422.161,
8,16,0,1,2.40000000000000000000,MET,0.13,8864.18,344.47,11569.4,20433.6,7395.1000,422.184,
8,16,0,1,2.50000000000000000000,MET,0.23,8864.18,344.47,11569.4,20433.6,7099.3000,422.184,
8,16,0,16,1.60000000000000000000,VIOLATED,-0.06,23914.2,1464.06,27970.2,51884.4,21028.000,1073.6000,
8,16,0,16,1.70000000000000000000,MET,0,23491.5,1248.87,27948.6,51440.1,19745.000,1058.8000,
8,16,0,16,1.69000000000000000000,MET,0,23564.4,1309.78,27946.5,51510.9,19861.4000,1061.4000,
8,16,0,16,1.68000000000000000000,,,,,,,,,
8,16,1,1,.90000000000000000000,VIOLATED,-0.06,9180.99,532.798,11666.5,20847.5,19932.1000,431.877,
8,16,1,1,1.00000000000000000000,VIOLATED,-0.04,9103.05,483.854,11670.5,20773.5,17928.6000,430.966,
8,16,1,1,1.10000000000000000000,VIOLATED,-0.02,9040.28,423.738,11671,20711.3,16291.1000,429.974,
8,16,1,1,1.20000000000000000000,VIOLATED,-0.17,9066.34,408.576,11669.4,20735.8,14928.1000,430.049,
8,16,1,1,1.30000000000000000000,VIOLATED,-0.08,9050.92,387.828,11669.7,20720.6,13782.2000,429.774,
8,16,1,1,1.40000000000000000000,MET,0,9018.73,372.4,11663.6,20682.3,12790.7000,428.565,
8,16,1,1,1.39000000000000000000,VIOLATED,-0.01,9034.96,378.252,11664.1,20699.1,12885.8000,428.996,
8,16,1,1,1.50000000000000000000,MET,0,8955.16,359.632,11662,20617.1,11927.9000,426.587,
8,16,1,1,1.60000000000000000000,MET,0,8901.96,350.588,11657.7,20559.7,11173.9000,424.833,
8,16,1,1,1.70000000000000000000,MET,0.01,8882.01,346.864,11655.3,20537.3,10513.9000,424.087,
8,16,1,1,1.80000000000000000000,MET,0.01,8871.1,346.332,11655.3,20526.4,9927.7000,423.698,
8,16,1,1,1.90000000000000000000,MET,0.05,8868.71,344.47,11655.3,20524,9406.000,423.703,
8,16,1,1,2.00000000000000000000,MET,0.15,8868.71,344.47,11655.3,20524,8935.8000,423.693,
8,16,1,1,2.10000000000000000000,MET,0.25,8868.71,344.47,11655.3,20524,8509.6000,423.682,
8,16,1,1,2.20000000000000000000,MET,0.35,8867.91,343.672,11655.3,20523.2,8123.3000,423.68,
8,16,1,16,.90000000000000000000,VIOLATED,-0.07,23545.3,1616.48,29263.5,52808.7,39368.4000,1096.6000,
8,16,1,16,1.00000000000000000000,VIOLATED,-0.01,23478.5,1688.83,29264,52742.5,35416.5000,1090.8000,
8,16,1,16,1.10000000000000000000,VIOLATED,0,23551.6,1644.94,29285.8,52837.4,32207.4000,1094.3000,
8,16,1,16,1.20000000000000000000,VIOLATED,-0.2,23902.8,1491.2,29277.6,53180.3,29501.9000,1092.2000,
8,16,1,16,1.30000000000000000000,VIOLATED,-0.1,23880.4,1518.33,29281.8,53162.2,27231.6000,1092.2000,
8,16,1,16,1.40000000000000000000,VIOLATED,0,23716.3,1417.78,29241.6,52957.9,25253.5000,1085.8000,
8,16,1,16,1.50000000000000000000,MET,0,22807.4,1124.65,29198.8,52006.2,23445.5000,1057.6000,
8,16,1,16,1.49000000000000000000,MET,0,22892.2,1116.67,29205.2,52097.4,23619.3000,1060.5000,
8,16,1,16,1.48000000000000000000,MET,0,23019.6,1125.98,29212.9,52232.6,23799.4000,1065.3000,
8,16,1,16,1.47000000000000000000,MET,0,23105.8,1148.85,29205.2,52311,23973.3000,1067.4000,
8,16,1,16,1.46000000000000000000,MET,0,23196.8,1187.96,29211.9,52408.6,24151.3000,1071.000,
8,16,1,16,1.45000000000000000000,MET,0,23277.1,1199.66,29217.2,52494.3,24325.6000,1073.1000,
8,16,1,16,1.44000000000000000000,MET,0,23367.6,1212.69,29220.1,52587.7,24518.8000,1076.7000,
8,16,1,16,1.43000000000000000000,MET,0,23480.4,1259.51,29232.6,52713,24704.4000,1079.6000,
8,16,1,16,1.42000000000000000000,MET,0,23533.8,1315.37,29228.9,52762.7,24874.6000,1080.8000,
8,16,1,16,1.41000000000000000000,MET,0,23628.5,1329.73,29250.7,52879.2,25072.000,1084.7000,
8,16,1,16,1.40000000000000000000,VIOLATED,0,23716.3,1417.78,29241.6,52957.9,25253.5000,1085.8000,
8,16,1,16,1.60000000000000000000,MET,0,22273.5,1066.39,29153.6,51427.1,21907.4000,1037.4000,
8,16,1,16,1.70000000000000000000,MET,0,21872.9,1028.36,29134.2,51007.1,20556.1000,1024.5000,
8,16,1,16,1.80000000000000000000,MET,0.01,21672.9,1016.12,29138.7,50811.6,19396.1000,1018.5000,
